iteration=1, cost value=-0.28000, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.28000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.03096, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.03096, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.00968, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.00968, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.00200, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.00200, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.00039, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.00039, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.28000, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.28000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.03018, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.03018, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.01047, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.01047, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.00200, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.00200, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.00039, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.00039, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.28000, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.28000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.03024, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.03024, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.01043, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.01043, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.00200, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.00200, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.00039, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.00039, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.28000, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.28000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.05348, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.05348, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.00940, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.00940, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.00546, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.00546, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.00045, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.00045, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.28000, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.28000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.03012, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.03012, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.01008, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.01008, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.00336, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.00336, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.00139, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.00139, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.28000, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.28000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.05359, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.05359, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.00971, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.00971, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.00332, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.00332, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.00226, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.00226, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.28000, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.28000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.05366, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.05366, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.00974, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.00974, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.00302, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.00302, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.00502, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.00502, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.00040, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.00040, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.28000, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.28000, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.05373, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.05373, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.00960, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.00960, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.00368, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.00368, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.00495, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.00495, tau=0.00600, solver status=optimal
iteration=1, cost value=-0.00040, tau=0.00500, solver status=optimal
iteration=2, cost value=-0.00040, tau=0.00600, solver status=optimal
iteration=1, cost value=0.00000, tau=0.00500, solver status=optimal
iteration=2, cost value=0.00000, tau=0.00600, solver status=optimal
